"challenge","username","money","leaderboard_categories","leaderboard_date","community"
"1364","mariomenti","1000.0","heroku, google, ruby, cloud foundry, salesforce.com","2012-02-21","cloudfoundry"
"1219","mbleigh","750.0","Google,Cloud Foundry,Heroku,AWS,","2011-11-02","cloudfoundry"
"1371","mbleigh","1250.0","ruby","2012-02-21",""
"1354","mbleigh","250.0","node.js","2012-01-31",""
"1503","mbleigh","1500.0","javascript, html5","2012-06-04",""
"1195","mbleigh","750.0","Cloud Foundry,Ruby,Heroku,","2011-10-20","cloudfoundry"
"1364","mbleigh","100.0","heroku, google, ruby, cloud foundry, salesforce.com","2012-02-21","cloudfoundry"
"1188","mbleigh","600.0","Ruby,Heroku,","2011-09-19",""
"1076","mbleigh","1500.0","Salesforce.com,Heroku,","2011-03-23",""
"1375","mbleigh","250.0","ruby, cloud foundry, heroku","2012-02-17","cloudfoundry"
"1114","mbleigh","750.0","Heroku,AWS,Ruby,","2011-06-03",""
"1362","mbleigh","1000.0","aws","2012-02-08",""
"1367","mbleigh","500.0","javascript","2012-02-13",""
"1142","mbleigh","2000.0","Salesforce.com,Other,Twilio,Mobile,Heroku,Google,","2011-08-04",""
"1166","mbleigh","750.0","Salesforce.com,Google,AWS,Heroku,Cloud Foundry,","2011-09-06","cloudfoundry"
"1482","melmoussaoui","150.0","salesforce.com","2012-05-14",""
"1442","mikelietz","200.0","other","2012-04-18",""
"1388","mikelietz","300.0","python, cloud foundry, heroku","2012-03-01","cloudfoundry"
"1395","mikelietz","300.0","python","2012-03-21",""
"1215","mind","250.0","Mobile,Other,","2011-11-28",""
"1377","mirfan00","100.0","","2012-02-21",""
"1395","mkagenius","200.0","python","2012-03-21",""
"1500","Moormosawre","150.0","javascript","2012-05-29",""
"1445","mouhannad","100.0","","",""
"1436","mprabhu","100.0","","",""
"1157","mrnobody","100.0","Salesforce.com,Heroku,Ruby,Cloud Foundry,","2011-08-08","cloudfoundry"
"1363","mrnobody","750.0","javascript, salesforce.com","2012-01-31",""
"1189","mrnobody","500.0","Salesforce.com,","2011-10-03",""
"1168","mrnobody","500.0","Salesforce.com,","2011-08-24",""
"1316","mrnobody","500.0","Salesforce.com,","2011-12-14",""
"1352","Mturabali","50.0","javascript, salesforce.com","2012-01-19",""
"1516","mulshanker","25.0","","",""
"1500","mulshanker","150.0","javascript","2012-05-29",""
"1103","mural","500.0","Salesforce.com,Java,","2011-05-13",""
"1079","mural","1000.0","Other,","2011-03-19",""
"1078","mural","1000.0","Other,","2011-03-19",""
"1106","mural","1000.0","JavaScript,","2011-05-19",""
"1113","mural","1000.0","Google,","2011-06-01",""
"1083","mural","500.0","Salesforce.com,","2011-04-14",""
"1187","mwaheed23","150.0","Salesforce.com,","2011-09-19",""
"1374","N-408596718","750.0","salesforce.com","2012-03-01",""
"1417","N-408596718","250.0","salesforce.com","2012-04-04",""
"1358","N-408596718","250.0","salesforce.com","2012-02-02",""
"1400","N-408596718","100.0","salesforce.com","2012-03-21",""
"1354","NaleagDeco","100.0","node.js","2012-01-31",""
"1357","naveen_kumar","100.0","other","2012-01-31",""
"1500","naveen_kumar","150.0","javascript","2012-05-29",""
"1471","ngoa","100.0","cloud foundry, google, heroku, docusign","2012-05-18","cloudfoundry"
"1515","nickforce","100.0","","",""
"1451","niteshsingh199611","600.0","mobile","2012-05-01",""
"1441","nJoy","500.0","salesforce.com","2012-04-27",""
"1070","nkhan","800.0","Salesforce.com,Google,Heroku,Twilio,","2011-03-18",""
"1506","nyudmitriy","100.0","","",""
"1135","OCONRSEA","250.0","Salesforce.com,Other,","2011-07-05",""
"1443","OlivierSpehner","350.0","salesforce.com","2012-04-13",""
"1402","Osch","25.0","","",""
"1354","PaulKolbovich","250.0","node.js","2012-01-31",""
"1370","PaulKolbovich","500.0","java, salesforce.com, ruby, cloud foundry, heroku","2012-02-13","cloudfoundry"
"1442","PaulKolbovich","200.0","other","2012-04-18",""
"1500","PaulKolbovich","150.0","javascript","2012-05-29",""
"1277","PaulKolbovich","1000.0","Google,Other,","2011-12-01",""
"1351","PaulKolbovich","500.0","salesforce.com, google, heroku, cloud foundry","2012-02-21","cloudfoundry"
"1235","peakpado","1000.0","Heroku,Ruby,Cloud Foundry,","2011-11-21","cloudfoundry"
"1383","peakpado","500.0","ruby, salesforce.com","2012-03-01",""
"1526","peakpado","150.0","salesforce.com","2012-06-05",""
"1496","peakpado","500.0","javascript","2012-06-01",""
"1469","peakpado","1000.0","salesforce.com, mobile","2012-05-18",""
"1468","peakpado","100.0","","",""
"1456","peakpado","150.0","java, salesforce.com, heroku","2012-05-02",""
"1449","peakpado","500.0","node.js, salesforce.com, java, ruby","2012-05-02",""
"1457","peakpado","250.0","ruby, salesforce.com, heroku","2012-05-02",""
"1434","peakpado","1000.0","salesforce.com","2012-04-26",""
"1391","peakpado","1500.0","salesforce.com, java, cloud foundry, heroku","2012-04-17","cloudfoundry"
"1440","peakpado","400.0","salesforce.com, java, cloud foundry, heroku, ruby","2012-04-13","cloudfoundry"
"1422","peakpado","100.0","salesforce.com","2012-04-04",""
"1335","peakpado","1000.0","ruby","2012-01-05",""
"1348","peakpado","500.0","salesforce.com","2012-01-13",""
"1410","peakpado","1500.0","salesforce.com","2012-03-29",""
"1353","peakpado","1000.0","salesforce.com, java","2012-01-27",""
"1360","peakpado","1000.0","heroku, salesforce.com, google, cloud foundry, mobile","2012-02-07","cloudfoundry"
"1362","peakpado","200.0","aws","2012-02-08",""
"1366","peakpado","250.0","google, java, python","2012-02-09",""
"1371","peakpado","750.0","ruby","2012-02-21",""
"1351","peakpado","1000.0","salesforce.com, google, heroku, cloud foundry","2012-02-21","cloudfoundry"
"1390","peakpado","500.0","salesforce.com","2012-03-14",""
"1364","pfweller","100.0","heroku, google, ruby, cloud foundry, salesforce.com","2012-02-21","cloudfoundry"
"1481","pfweller","100.0","","",""
"1359","pietje200","250.0","salesforce.com, mobile, google, cloud foundry, heroku","2012-02-03","cloudfoundry"
"1323","pkuphenix","1000.0","salesforce.com","2011-12-20",""
"1204","plcgi1","150.0","Other,","2011-10-12",""
"1082","plmcgrn","1000.0","Salesforce.com,Heroku,AWS,Google,","2011-05-12",""
"1382","ppandhi","500.0","mobile, android","2012-03-05",""
"1408","ppandhi","250.0","box, ios, android, mobile","2012-04-05",""
"1166","ppandhi","250.0","Salesforce.com,Google,AWS,Heroku,Cloud Foundry,","2011-09-06","cloudfoundry"
"1111","ppandhi","1000.0","Google,Mobile,","2011-05-27",""
"1422","Pradhap","100.0","salesforce.com","2012-04-04",""
